exit,dialog_exit
stop,dialog_exit
quit,dialog_exit
no more,dialog_exit
leave,dialog_exit
end,dialog_exit
It's christmas!,holiday_christmas
It's Christmas time!,holiday_christmas
Merry Christmas!,holiday_christmas
"Autumn, it's Christmas!",holiday_christmas
Christmas time!,holiday_christmas
Happy Easter!,holiday_easter
Today is Easter,holiday_easter
It's Easter!,holiday_easter
Christ has risen!,holiday_easter
Its Easter time.,holiday_easter
Its Easter right now,holiday_easter
it's christmas!,holiday_general
Happy holidays!,holiday_general
Delightful days,holiday_general
Merry day,holiday_general
Its the holidays!,holiday_general
Have a great holiday,holiday_general
Have a nice holiday,holiday_general
Have a good holiday,holiday_general
it's the holidays,holiday_general
Its Halloween time,holiday_halloween
Im going trick or treatings,holiday_halloween
Great Halloween today,holiday_halloween
Today is Halloween,holiday_halloween
Happy Halloween!,holiday_halloween
Is anyone trick or treating today?,holiday_halloween
I love halloween time,holiday_halloween
It's the new year!,holiday_newyears
Let's celebrate new years,holiday_newyears
Its time to celebrate new years,holiday_newyears
Happy New Year!,holiday_newyears
Have a nice new year!,holiday_newyears
The ball just dropped,holiday_newyears
It is Thanksgiving right now,holiday_thanksgiving
Today is Thanksgiving,holiday_thanksgiving
Its Thanksgiving time,holiday_thanksgiving
Happy Thanksgiving!,holiday_thanksgiving
Its Thanksgiving!,holiday_thanksgiving
blacklist,plugin_ban
blacklist user,plugin_ban
ban user,plugin_ban
ban,plugin_ban
message member,plugin_dm
message user,plugin_dm
dm user,plugin_dm
dm somebody,plugin_dm
dm,plugin_dm
message,plugin_dm
send message,plugin_dm
direct message,plugin_dm
send a message,plugin_dm
Can I see help?,plugin_help
Help info,plugin_help
What's the help docs?,plugin_help
Help,plugin_help
Show me help,plugin_help
Show help,plugin_help
Show the usage,plugin_help
Show help docs,plugin_help
Show docs,plugin_help
Display help,plugin_help
Display help docs,plugin_help
Autumn display help,plugin_help
Autumn help,plugin_help
Autumn show help,plugin_help
"Autumn, display help documentation.",plugin_help
"Autumn, display your help info.",plugin_help
"Autumn, display your help.",plugin_help
"Autumn, how do you work?",plugin_help
"Autumn, show display help docs.",plugin_help
"Autumn, show me help docs.",plugin_help
"Autumn, show me help.",plugin_help
Bot help,plugin_help
Display bot help,plugin_help
Show me usage,plugin_help
Usage,plugin_help
Docs,plugin_help
Documentation,plugin_help
Help docs,plugin_help
"Display help, Autumn.",plugin_help
Help bot,plugin_help
"Help me, Autumn.",plugin_help
"How do you work, Autumn?",plugin_help
How does Autumn work?,plugin_help
Version,plugin_info
Version info,plugin_info
Version number,plugin_info
What version are you?,plugin_info
What's Autumns version?,plugin_info
Autumn info,plugin_info
About Autumn,plugin_info
About,plugin_info
Show me version info,plugin_info
Show info,plugin_info
Info,plugin_info
"Autumn, what library are you using?",plugin_info
Autumn version,plugin_info
"Autumn, show me your info.",plugin_info
"Autumn, what version are you?",plugin_info
Show me your info,plugin_info
boot user,plugin_kick
kick user,plugin_kick
boot,plugin_kick
kick,plugin_kick
equate,plugin_math
multiply,plugin_math
add,plugin_math
